,occ,0,1,emp_2018,wage,sqrt_emp
399,Medical and health services managers,-25.269022,-2.0122364,422.3,100980.0,20.549939172659368
400,Medical appliance technicians,3.7794702,8.12531,14.8,40690.0,3.847076812334269
401,Medical assistants,-7.372913,5.4164214,725.2,34800.0,26.929537686339884
402,Medical equipment preparers,-1.0845699,16.034983,58.7,37440.0,7.661592523751182
403,Medical equipment repairers,1.705481,18.678743,53.9,49280.0,7.341661937191061
404,"Medical scientists, except epidemiologists",-30.977158,-3.4872117,138.3,88790.0,11.76010204037363
405,Medical secretaries and administrative assistants,5.1488905,-15.885459,623.4,36580.0,24.96797949374358
406,Medical transcriptionists,8.02973,-19.78368,58.5,33380.0,7.648529270389178
407,"Meeting, convention, and event planners",-18.888622,2.184963,138.6,50600.0,11.77285012220915
408,Mental health and substance abuse social workers,-15.401134,-15.432752,123.2,46650.0,11.099549540409287
409,Merchandise displayers and window trimmers,14.582428,-8.928359,180.4,29460.0,13.431306712304652
410,Metal-refining furnace operators and tenders,25.83908,10.345251,17.1,42250.0,4.135214625627067
411,"Meter readers, utilities",19.953531,-3.966915,30.9,42280.0,5.558776843874918
412,Microbiologists,-34.639782,-1.7775108,20.2,75650.0,4.494441010848846
413,"Middle school teachers, except special and career/technical education",-15.918765,-10.196648,627.1,59660.0,25.041964779146223
414,"Milling and planing machine setters, operators, and tenders, metal and plastic",29.757341,3.5259275,19.2,43210.0,4.381780460041329
415,Millwrights,-4.934133,19.398043,48.7,55560.0,6.978538528947161
416,"Mining and geological engineers, including mining safety engineers",-33.1909,3.191121,6.3,91160.0,2.5099800796022267
417,"Mixing and blending machine setters, operators, and tenders",28.596695,3.0601277,128.0,37780.0,11.313708498984761
418,"Mobile heavy equipment mechanics, except engines",7.1701217,23.102406,152.9,53370.0,12.365273955719704
419,"Model makers, metal and plastic",34.09617,4.2833385,4.4,57020.0,2.0976176963403033
420,"Model makers, wood",29.781403,15.238962,1.4,59260.0,1.1832159566199232
421,Models,26.52778,-13.914004,2.7,28350.0,1.6431676725154984
422,"Molders, shapers, and casters, except metal and plastic",28.29876,6.455897,49.4,34030.0,7.0285133563222315
423,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",31.586779,4.7301874,173.4,32130.0,13.168143377105217
424,"Morticians, undertakers, and funeral arrangers",-15.869799,1.8679599,26.6,54150.0,5.157518783291051
425,Motion picture projectionists,27.747189,-0.18553849,4.7,25150.0,2.16794833886788
426,Motorboat mechanics and service technicians,13.180729,9.134086,25.7,41330.0,5.06951674225463
427,Motorboat operators,10.858189,10.616409,2.5,48260.0,1.5811388300841898
428,Motorcycle mechanics,26.386051,0.24642198,17.4,37600.0,4.171330722922842
429,"Multiple machine tool setters, operators, and tenders, metal and plastic",29.63467,6.7449,150.5,36330.0,12.267844146385297
